Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Please Give	Comedy
10	"Comedy, Romance"
12 Angry Men (Twelve Angry Men)	"Classics, Drama"
"20,000 Leagues Under The Sea"	"Action & Adventure, Drama, Kids & Family"
"10,000 B.C."	"Action & Adventure, Classics, Drama"
The 39 Steps	"Action & Adventure, Classics, Mystery & Suspense"
3:10 to Yuma	"Classics, Drama, Western"
Charly (A Heartbeat Away)	"Comedy, Drama, Romance"
Abraham Lincoln	"Classics, Drama"
Dark Water	"Art House & International, Horror, Mystery & Suspense"
The Accused	"Drama, Mystery & Suspense"
The Lost City	Drama
The Breaking Point	Drama
Adam's Rib	"Classics, Comedy, Romance"
The Bridge of San Luis Rey	"Art House & International, Drama, Faith & Spirituality"
The Prowler (Cost of Living )	"Drama, Mystery & Suspense"
Criminal	"Drama, Mystery & Suspense"
The Adventures of Mark Twain	"Action & Adventure, Animation, Kids & Family"
Deep Blue	"Documentary, Special Interest"
The Adventures of Robin Hood	"Action & Adventure, Classics, Romance"
Man Hunt	"Classics, Drama, Mystery & Suspense"
Dead End	"Comedy, Horror, Mystery & Suspense"
Bandwagon	Comedy
Whore	"Art House & International, Drama"
Tristan & Isolde	"Drama, Science Fiction & Fantasy, Romance"
Wild Side	"Art House & International, Drama"
A Tale of Two Pizzas	Comedy
Running Scared	"Action & Adventure, Drama, Mystery & Suspense"
Going the Distance	Comedy
Ultraviolet	"Action & Adventure, Drama, Horror, Science Fiction & Fantasy"
Home of the Brave	"Action & Adventure, Documentary, Drama, Special Interest"
Arthur and the Invisibles (Arthur and the Minimoys)	"Animation, Kids & Family, Science Fiction & Fantasy"
Malevolence	Horror
Eternal	"Horror, Mystery & Suspense"
A Farewell To Arms	"Classics, Drama, Romance"
The Narrow Margin	"Classics, Drama, Mystery & Suspense"
The Matador	"Action & Adventure, Comedy, Drama, Mystery & Suspense"
Smile	"Art House & International, Comedy, Drama"
The Intruder (L'Intrus)	"Art House & International, Drama"
Saint Ralph	"Comedy, Drama"
The Baxter	"Comedy, Romance"
Oliver Twist	"Drama, Kids & Family"
The Alamo	"Action & Adventure, Classics, Drama, Western"
G	"Drama, Romance"
Alexander the Great	Classics
Alfie	"Classics, Comedy, Drama, Romance"
Neverwas	"Drama, Mystery & Suspense"
The Second Chance	"Drama, Faith & Spirituality"
Moonlight	"Drama, Mystery & Suspense"
Aliens	"Action & Adventure, Horror, Science Fiction & Fantasy"
Rise: Blood Hunter	"Horror, Mystery & Suspense"
All About Eve	"Classics, Drama"
When Do We Eat?	Comedy
The Mostly Unfabulous Social Life of Ethan Green	"Comedy, Drama"
Dirty	Drama
Stay Alive	"Horror, Mystery & Suspense"
All of Me	"Comedy, Science Fiction & Fantasy"
All Quiet on the Western Front	Drama
Dreamland	"Art House & International, Drama"
Independent Lens	"Documentary, Special Interest"
All the King's Men	"Classics, Drama"
Street Fight	"Documentary, Special Interest"
The Motel	"Comedy, Drama"
Once in a Lifetime: The Extraordinary Story of the New York Cosmos	"Documentary, Sports & Fitness"
Requiem	"Art House & International, Drama, Horror, Mystery & Suspense"
Gui si (Silk)	"Art House & International, Horror, Mystery & Suspense"
Park	"Art House & International, Comedy, Drama"
The 4th Dimension	"Drama, Science Fiction & Fantasy"
"Bon Cop, Bad Cop"	"Action & Adventure, Comedy"
Amazing Grace	"Drama, Mystery & Suspense"
The Silence	"Action & Adventure, Drama, Mystery & Suspense, Television"
Cocaine Cowboys	Documentary
Gone	"Horror, Mystery & Suspense"
The Situation	"Drama, Mystery & Suspense"
Snow Blind	"Documentary, Sports & Fitness"
Four Sheets to the Wind	"Art House & International, Drama"
The Tiger's Tail	"Comedy, Drama, Mystery & Suspense"
It's a Boy Girl Thing	"Comedy, Romance"
Slipstream	"Art House & International, Comedy, Drama, Science Fiction & Fantasy"
Delirious	"Comedy, Drama"
Interview	"Art House & International, Drama"
American Anthem	"Action & Adventure, Documentary, Drama"
The Ten	Comedy
The Happening	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
Molière	Comedy
Straightheads (Closure)	"Drama, Mystery & Suspense"
Borderland	"Drama, Horror, Mystery & Suspense"
Spiral	"Drama, Mystery & Suspense"
Alexandra	Drama
Blood and Tears: The Arab-Israeli Conflict	Documentary
The Cool School	"Documentary, Musical & Performing Arts"
Pathology	"Drama, Mystery & Suspense"
Disney's A Christmas Carol	"Animation, Drama, Kids & Family, Science Fiction & Fantasy"
Deep Water	"Documentary, Special Interest"
Road to Victory	"Art House & International, Drama, Sports & Fitness"
Beverly Hills Chihuahua	Comedy
Fireflies in the Garden	Drama
The Eye	"Drama, Horror, Mystery & Suspense"
Day of the Dead	"Horror, Mystery & Suspense"
My Best Friend's Girl	"Comedy, Drama"
The Burrowers	"Horror, Mystery & Suspense, Western"
The Midnight Meat Train	"Drama, Horror, Mystery & Suspense"
The Lucky Ones	"Comedy, Drama"
Run Fatboy Run	Comedy
Closing Escrow	Comedy
Whiteout	"Action & Adventure, Drama, Mystery & Suspense"
Randy and the Mob	"Comedy, Documentary"
Black Irish	Drama
Wild Child	Comedy
Powder Blue	Drama
King Corn	"Documentary, Musical & Performing Arts, Special Interest"
L' Avocat de la Terreur (Terror's Advocate)	"Art House & International, Documentary, Special Interest"
Darfur Now	"Documentary, Drama, Musical & Performing Arts, Special Interest"
Laaga Chunari Mein Daag - Journey of a Woman	"Art House & International, Drama"
Rails & Ties	Drama
Mr. Untouchable	Documentary
House	"Drama, Horror, Mystery & Suspense"
Canvas	Drama
Skid Row	"Documentary, Special Interest"
Saawariya	"Art House & International, Drama, Musical & Performing Arts, Romance"
Aaja Nachle	"Art House & International, Drama, Musical & Performing Arts, Romance"
Flawless	"Drama, Mystery & Suspense"
What Happens in Vegas	"Comedy, Romance"
Appaloosa	"Action & Adventure, Western"
Good	Drama
The Visitor	Drama
Meet Bill	Comedy
Married Life	"Comedy, Drama, Mystery & Suspense, Romance"
Badland	Drama
The Oxford Murders	"Art House & International, Drama, Horror, Mystery & Suspense"
Untraceable	"Drama, Horror, Mystery & Suspense"
The Informers	"Drama, Mystery & Suspense"
Meeting Resistance	"Documentary, Special Interest"
The Freshman	"Comedy, Drama"
Guta-yubalja-deul (A Bloody Aria)	"Art House & International, Drama, Mystery & Suspense"
The Rocker	"Comedy, Drama"
The Perfect Holiday	"Kids & Family, Romance"
La Graine et le Mulet (The Secret of the Grain) (Couscous)	"Art House & International, Drama"
Land of the Lost	"Action & Adventure, Comedy, Science Fiction & Fantasy"
[Rec]	"Art House & International, Horror, Special Interest"
Look	"Comedy, Drama"
And God Created Woman	"Classics, Comedy, Drama, Romance"
The Box	"Horror, Mystery & Suspense, Science Fiction & Fantasy"
Man in the Chair	"Comedy, Drama"
Undoing	"Drama, Mystery & Suspense"
Black Water	"Horror, Mystery & Suspense"
21	"Drama, Mystery & Suspense"
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe)	"Art House & International, Drama, Romance"
Ben X	"Art House & International, Drama, Mystery & Suspense"
Body of Lies	"Drama, Mystery & Suspense"
Passengers	"Drama, Mystery & Suspense"
The Grand	Comedy
The Hammer	Comedy
Shutter	"Horror, Mystery & Suspense"
Priest	"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western"
The Broken	"Horror, Mystery & Suspense"
The Escapist	"Art House & International, Mystery & Suspense"
Sugar	"Drama, Sports & Fitness"
Quid Pro Quo	"Drama, Mystery & Suspense"
Red	"Drama, Mystery & Suspense"
The Guitar	Drama
The Road	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
G-Force	"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy"
The Other Man	Drama
The Duchess	Drama
The Women	"Comedy, Drama"
Public Enemies	"Action & Adventure, Drama"
Night and Day (Bam gua nat)	"Art House & International, Drama"
Julia	"Art House & International, Drama, Mystery & Suspense"
Angel and the Badman	"Classics, Western, Romance"
Fade to Black	Mystery & Suspense
Angel Heart	"Drama, Mystery & Suspense"
Old Dogs	"Comedy, Drama, Kids & Family"
Surrogates	"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy"
The Promotion	Comedy
Notorious	"Drama, Musical & Performing Arts"
Soul Men	"Comedy, Musical & Performing Arts"
Igor	"Animation, Comedy, Kids & Family"
The Matador	"Documentary, Special Interest"
The Auteur	Comedy
The Caller	"Drama, Mystery & Suspense"
Sin Nombre	"Drama, Mystery & Suspense"
Das Haus der Schlafenden Schönen (House of the Sleeping Beauties)	"Art House & International, Drama"
The Stone Angel	Drama
Alvin and the Chipmunks: The Squeakquel	"Animation, Comedy, Kids & Family"
Un Conte de Noël (A Christmas Tale)	"Art House & International, Comedy, Drama"
The Rebound	"Comedy, Romance"
Ripple Effect	Drama
"1,000 Times Good Night"	Drama
Harold	Comedy
Push	"Mystery & Suspense, Science Fiction & Fantasy"
Felon	"Action & Adventure, Drama, Mystery & Suspense"
Scar	"Drama, Horror, Mystery & Suspense"
The Unborn	"Horror, Mystery & Suspense"
Bitch Slap	Action & Adventure
Forever Strong	Drama
Chocolate	"Action & Adventure, Art House & International"
Fireproof	Drama
Dostana	"Art House & International, Comedy"
The Garden	"Documentary, Special Interest"
Splinter	"Horror, Mystery & Suspense"
Leaves of Grass	"Comedy, Drama, Mystery & Suspense"
Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven)	Romance
The Proposal	"Comedy, Romance"
Gigantic	"Comedy, Romance"
Fuel	"Documentary, Special Interest"
Hush	Mystery & Suspense
Anna Karenina	"Classics, Drama, Romance"
Orphan	"Drama, Horror, Mystery & Suspense"
My Sister's Keeper	Drama
The Hangover	Comedy
The Stepfather	"Horror, Mystery & Suspense"
Okuribito (Departures)	"Art House & International, Drama"
Boogie (Summer Holiday)	"Comedy, Drama"
Prima Ballerina	"Art House & International, Special Interest"
Season of the Witch	"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy"
Shuttle	Mystery & Suspense
Miss March	Comedy
An American Affair	"Drama, Mystery & Suspense"
Grace	"Drama, Horror"
Endgame	"Drama, Mystery & Suspense"
The Red Baron (Der rote Baron)	"Action & Adventure, Drama, Romance"
The Objective	"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Happy Tears	"Comedy, Drama"
The Missing Person	"Comedy, Drama, Mystery & Suspense"
Polanski (Polanski Unauthorized)	"Art House & International, Drama"
